entidad_ejecutora,proyectos,presupuesto_vigente,ejecutado_total,no_ejecutado,riesgo_fiscal_total,riesgo_fiscal_prom,n_no_iniciado,n_en_ejecucion,n_en_meseta,n_finalizado,ratio_ejec_agg,n_inconsistencia_estado_momento,presupuesto_inconsistencia_estado_momento,score_concentracion_baja_ejec
"MUNICIPALIDAD DE SANTA BARBARA, HUEHUETENANGO",14,30491269.9,7753153.1,22738116.8,120.26464454334173,8.590331753095837,6,1,6,1,0.2542745226888697,1,3500000.0,120.79987573787889
"MUNICIPALIDAD DE SANTA BARBARA, SUCHITEPEQUEZ",24,30496841.56,4659950.91,25836890.65,210.8558976315943,8.78566240131643,13,7,4,0,0.15280109911814752,0,0.0,175.19870329090082
MUNICIPALIDAD DE SANTA CATALINA LA TINTA,38,31365836.36,2045817.2000000002,29320019.16,235.24710583081537,6.190713311337246,33,0,5,0,0.06522437905111866,0,0.0,400.1573465268296
MUNICIPALIDAD DE SANTA CATARINA BARAHONA,37,37161769.7,11074149.75,26087619.95,264.1083772469733,7.138064249918197,13,17,3,4,0.29799844946566145,4,2122923.2,137.04815481632986
MUNICIPALIDAD DE SANTA CATARINA IXTAHUACAN,73,63631039.12,32224156.73,31406882.39,164.27701466434604,2.250370063895151,34,12,15,12,0.5064219785760431,12,11516284.2,296.2216587849363
MUNICIPALIDAD DE SANTA CATARINA MITA,62,60773371.51,26474478.32,34298893.19,258.5614011522444,4.17034517987491,19,10,33,0,0.43562628931395947,0,0.0,392.46508176704157
MUNICIPALIDAD DE SANTA CATARINA PALOPO,65,13302815.04,4903001.12,8399813.92,67.42090008802676,1.0372446167388731,56,2,2,5,0.3685686905558901,5,7112465.4399999995,374.9478290567456
MUNICIPALIDAD DE SANTA CATARINA PINULA,34,200898077.08,118858651.23,82039425.85,79.63101299379576,2.342088617464581,13,12,9,0,0.591636579889558,0,0.0,124.91548398530456
MUNICIPALIDAD DE SANTA CLARA LA LAGUNA,39,24093074.66,4746253.03,19346821.63,341.96750486025473,8.768397560519352,29,8,2,0,0.19699656839066138,0,0.0,272.97997331618615
MUNICIPALIDAD DE SANTA CRUZ BALANYA,56,51554464.76,21624994.84,29929469.92,384.0967562018154,6.85887064646099,11,22,17,6,0.4194592057287416,6,1549752.54,218.55779926875456
MUNICIPALIDAD DE SANTA CRUZ DEL QUICHE,145,56608806.79,7927533.47,48681273.32,464.3018813136183,3.2020819400939193,118,11,16,0,0.14004063889579116,0,0.0,1298.755101940647
MUNICIPALIDAD DE SANTA CRUZ LA LAGUNA,52,35257824.84,17943566.75,17314258.09,277.9441456094132,5.345079723257947,7,28,17,0,0.5089243829257165,0,0.0,160.4393756288145
MUNICIPALIDAD DE SANTA CRUZ MULUA,44,30883902.2,6372503.0,24511399.2,230.68734112056245,5.242894116376419,29,4,11,0,0.2063373649719691,0,0.0,372.2946675685748
MUNICIPALIDAD DE SANTA CRUZ NARANJO,81,34559143.01,10417599.09,24141543.92,391.15929957105396,4.829127155198197,50,4,27,0,0.3014426337766991,0,0.0,637.8111053049529
MUNICIPALIDAD DE SANTA CRUZ VERAPAZ,61,61932158.96,23261226.32,38670932.64,303.15351966157914,4.969729830517691,35,5,21,0,0.3755920463716384,0,0.0,434.6704486202887
MUNICIPALIDAD DE SANTA EULALIA,58,32209070.81,3708118.98,28500951.83,153.98650434012455,2.6549397300021473,53,2,3,0,0.1151265431366848,0,0.0,538.4712539671501
MUNICIPALIDAD DE SANTA LUCIA COTZUMALGUAPA,50,103975592.96000001,52434695.64,51547758.53,300.5197392602123,6.010394785204246,17,24,9,0,0.5042981160027807,0,0.0,168.36904523689307
MUNICIPALIDAD DE SANTA LUCIA LA REFORMA,60,40910723.0,11818719.06,29092003.94,332.227307326371,5.53712178877285,40,8,12,0,0.28889049601983324,0,0.0,431.2387312954415
MUNICIPALIDAD DE SANTA LUCIA MILPAS ALTAS,56,54913997.9,28402419.59,26511578.31,199.41048476309916,3.5609015136267708,31,18,2,5,0.5172163870079473,5,2283787.63,182.4010136299795
MUNICIPALIDAD DE SANTA LUCIA UTATLAN,139,15100092.25,3191383.45,11908708.8,210.82434151034548,1.516721881369392,124,3,12,0,0.21134860616497228,0,0.0,1108.1088173641401
