departamento,municipio,proyectos,presupuesto_vigente,ejecutado_total,no_ejecutado,riesgo_fiscal_total,riesgo_fiscal_prom,n_no_iniciado,n_en_ejecucion,n_en_meseta,n_finalizado,ratio_ejec_agg,n_inconsistencia_estado_momento,presupuesto_inconsistencia_estado_momento,score_concentracion_baja_ejec
Huehuetenango,San Gaspar Ixchil,26,32306531.96,10502067.72,21804464.24,172.62210864315273,6.63931187089049,14,1,10,1,0.32507567612032845,1,1214435.7,203.05744352679662
Huehuetenango,San Ildefonso Ixtahuacán,52,57960679.89,5259806.12,52700873.769999996,456.6581324416057,8.78188716233857,43,3,6,0,0.09074783335844683,0,0.0,513.5989998806559
Huehuetenango,San Juan Atitán,70,28043120.0,9500644.3,18542475.7,159.07750478759152,2.272535782679879,62,3,5,0,0.3387869930307327,0,0.0,478.5188715007899
Huehuetenango,San Juan Ixcoy,50,16270911.4,4025183.6,12245727.799999999,120.98764940439125,2.419752988087825,45,0,3,2,0.24738525710366785,2,2015056.0,379.9113744006879
Huehuetenango,San Mateo Ixtatán,51,37044344.51,3294840.86,33749503.65,281.5863856262157,5.521301678945406,44,0,6,1,0.08894315457817234,1,590000.0,511.25737475068115
Huehuetenango,San Miguel Acatán,46,34836466.11,13315569.29,21520896.82,138.56713043859082,3.012328922578061,23,5,8,10,0.38223077070890643,10,2444253.25,227.43972111337956
Huehuetenango,San Pedro Necta,47,55334756.6,12114913.64,43219842.96,283.7292498794087,6.036792550625718,39,4,4,0,0.21893859093978557,0,0.0,384.34310917856766
Huehuetenango,San Pedro Soloma,49,21227474.0,7500735.03,13693011.969999999,143.43499687032119,2.9272448340881874,40,4,5,0,0.35335033410004413,0,0.0,316.3755475488831
Huehuetenango,San Rafael Petzal,33,37734475.4,12193955.2,25540520.2,86.73430128218226,2.628312160066129,23,4,6,0,0.32315157613135914,0,0.0,231.44375703475674
Huehuetenango,San Rafael la Independencia,50,24483683.55,10443647.55,14040036.0,162.64025716190872,3.2528051432381746,41,0,9,0,0.4265554048953553,0,0.0,320.00695697299506
