snip,costo_total_n_distinct,costo_total_stable_flag,costo_total_first,costo_total_last,monto_programado_anual_n_distinct,monto_programado_anual_stable_flag,monto_programado_anual_first,monto_programado_anual_last,montro_asignado_anual_n_distinct,montro_asignado_anual_stable_flag,montro_asignado_anual_first,montro_asignado_anual_last,monto_vigente_anual_n_distinct,monto_vigente_anual_stable_flag,monto_vigente_anual_first,monto_vigente_anual_last
331422,1,0,4002500.0,4002500.0,1,0,4000000.0,4000000.0,1,0,4000000.0,4000000.0,1,0,4000000.0,4000000.0
331424,1,0,1585820.0,1585820.0,1,0,474546.0,474546.0,1,0,0.0,0.0,2,1,0.0,474546.0
331427,1,0,3169010.0,3169010.0,2,1,3169010.0,2279010.0,1,0,3169010.0,3169010.0,2,1,3169010.0,2279010.0
331430,1,0,7450000.0,7450000.0,1,0,3279226.0,3279226.0,1,0,3279226.0,3279226.0,1,0,3279226.0,3279226.0
331433,1,0,1800000.0,1800000.0,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
331434,1,0,604000.0,604000.0,1,0,600000.0,600000.0,1,0,600000.0,600000.0,1,0,600000.0,600000.0
331438,1,0,2502000.0,2502000.0,1,0,1000000.0,1000000.0,1,0,1000000.0,1000000.0,1,0,1000000.0,1000000.0
331439,1,0,504000.0,504000.0,1,0,500000.0,500000.0,1,0,500000.0,500000.0,1,0,500000.0,500000.0
331440,1,0,1120900.0,1120900.0,1,0,0.0,0.0,2,1,0.0,1118862.0,2,1,0.0,1118862.0
331441,1,0,1301000.0,1301000.0,1,0,1200000.0,1200000.0,1,0,1200000.0,1200000.0,2,1,1200000.0,0.0
331442,1,0,5000000.0,5000000.0,1,0,6169897.0,6169897.0,1,0,6169897.0,6169897.0,2,1,6169897.0,0.0
331445,1,0,876000.0,876000.0,1,0,850000.0,850000.0,1,0,850000.0,850000.0,2,1,850000.0,0.0
331446,1,0,745000.0,745000.0,1,0,644000.0,644000.0,1,0,644000.0,644000.0,2,1,644000.0,0.0
331447,1,0,1700000.0,1700000.0,1,0,1300000.0,1300000.0,1,0,1300000.0,1300000.0,1,0,1300000.0,1300000.0
